,Mar-21,Jan-22,Feb-22,Mar-22,Mar-21,Jan-22,Feb-22,2022,Jan-22,Jan-22,Feb-22,Mar-22
Alabama,2030.5,2055.8,2064.1,2066.5,93.5,98.7,98,98.9,263.2,266,267.9,266.8
Alaska,310.7,316.9,315.8,315.7,15.8,16.3,16.5,16.7,12,12.9,11.3,11.2
Arizona,2920.7,3022.3,3033.2,3029.5,177.7,181,181.6,182.6,180.3,184.7,186.1,186.8
Arkansas,1273.2,1309,1308.8,1308.5,55.1,55.6,55.2,55.5,157.1,161,161.2,161.7
California,16354.5,17200.8,17336.2,17396.4,885.3,885.5,907,915.9,1268.5,1288.6,1294.4,1297.3
,,,,,,,,,,,,
Colorado,2703.3,2812.8,2828.7,2834.5,176.8,181.4,184.2,181.9,147.7,152.3,152.9,153.9
Connecticut,1598.7,1636.4,1641.8,1646.4,59.4,61.6,61.4,62.7,153,157.4,158.1,158.4
Delaware(2),447.6,453.4,455.5,456.9,23.1,23.6,23.9,23.6,24.7,25.1,25.4,25.7
District of Columbia(2),728.9,761.7,762.9,763.8,15.1,15.3,15.2,15,1.1,1.1,1.1,1.1
Florida,8733.7,9176.5,9221.3,9231.5,573.2,586,589.2,588.1,384.2,396.1,400.7,405.2
,,,,,,,,,,,,
Georgia,4506,4699.7,4728.3,4740.4,204.2,209.2,205.3,205.2,390.4,404.3,407.5,408.6
Hawaii(2),564.2,597.3,600.2,599.9,37.4,36.3,36.8,37.1,11.8,12.2,12.3,12.4
Idaho,787.1,813.6,812.9,812.5,59.3,61.2,61.7,61.7,70.4,72.3,72,71.5
Illinois,5756.1,5951,5976.1,5994.4,222,222,220.9,221.3,554.7,561.6,565.3,566.3
Indiana,3058.4,3150.7,3163.1,3172,146.9,157.8,159.5,160.9,523.1,534.6,536.7,538.8
,,,,,,,,,,,,
Iowa,1531.2,1556.4,1565.2,1563.7,77.4,79.6,79.8,80.2,217.3,222,223.2,223.4
Kansas,1370.3,1385.6,1392.5,1390.2,63.8,67.2,68.1,67.2,160.7,163.6,164.5,164.5
Kentucky,1891.7,1929.9,1936.2,1938.1,78.8,79.9,79.2,77.9,243.7,238.7,241.1,237.2
Louisiana,1859.1,1902.4,1905.2,1905.1,124.8,131.8,132.6,134.3,128.3,132.1,133.9,134.1
Maine,619.5,631.6,635.1,638.7,31.8,33.2,32.7,32.4,53.6,54.8,55,55.3
,,,,,,,,,,,,
Maryland,2621.1,2684.9,2699.3,2703.2,161.1,160.9,162.4,164.1,109.2,109.8,109.6,109.2
Massachusetts,3464.7,3607.8,3630.1,3651.1,163.2,170.4,171.8,171.9,230.9,235,236.9,237.5
Michigan,4156.2,4303,4315.4,4330.3,174,178.7,179.7,180.5,588.3,596.7,595.4,603.5
Minnesota,2828.4,2869.3,2882.3,2893.8,127.4,128,128.2,128.3,311.3,320,322.2,324.5
Mississippi,1128.6,1158.6,1160.7,1158.1,43.6,48.8,49.1,47.5,141.8,149.2,149.1,150
,,,,,,,,,,,,
Missouri,2822.2,2895.3,2904.5,2904.3,130.6,137,138.3,140.3,270.4,272.6,272.8,270.7
Montana,487.8,503.5,504.7,505.2,32.7,34,34.8,34.3,21.1,22.5,22.5,22.5
Nebraska,1002.6,1012.4,1025,1025.4,55.7,56.2,57.5,57.3,99.1,101.2,101.6,101.3
Nevada,1319.8,1427.8,1435.3,1440.2,97.3,97.4,98.3,99.3,59.3,63.2,63.7,63.9
New Hampshire,654.8,671.6,676.7,679.9,28.5,30.3,30.4,30.8,67.4,68.6,68.7,68.5
,,,,,,,,,,,,
New Jersey,3957.9,4128.2,4157.4,4175.2,156,161.4,162.6,162.9,239.9,241.9,243,244
New Mexico,798.8,836.1,842.5,845.9,47.7,49.5,51,52.7,27.6,29,29.4,29.5
New York,8919.1,9313.9,9347.1,9375.2,379.1,379,383.7,380,405.8,413.8,416.4,418.9
North Carolina,4527.5,4665.6,4694.7,4712.8,237.2,239.6,239.5,243.7,462.2,464.9,469.5,472.7
North Dakota,413.1,424.9,426.2,425.9,25.2,26,26.3,26.7,25.9,26.7,26.8,27
,,,,,,,,,,,,
Ohio,5354.3,5432.7,5449.4,5467.7,223.4,237.2,235,235.7,664.2,674.7,674.3,677.2
Oklahoma,1637.6,1660.5,1671.7,1674.4,78.2,76.8,76.9,78.1,128.7,130.2,131.8,132.1
Oregon,1852.9,1920.9,1930.6,1936.2,111.4,113.8,116,117.5,185.7,192.3,192.7,193.5
Pennsylvania,5706.4,5856.4,5886.5,5902.3,254.7,252.3,251.3,252.5,541.3,548.2,558.6,558.2
Rhode Island,474.6,487,491.3,491.7,19.9,20.1,21.2,21.6,38.4,39.2,39.8,39.9
,,,,,,,,,,,,
South Carolina,2133.6,2178.4,2198.4,2191,104.5,104.6,105,105.1,248.4,254.3,255,255
South Dakota,436.5,442.4,443.1,445.7,25.4,25.3,25.1,26.9,43.5,44,44.3,43.7
Tennessee,3074.5,3173.2,3191.2,3199.3,134.9,139,143.3,143.6,348.1,356.4,358.6,358.2
Texas,12476,13106.3,13177.5,13207.6,734,755.5,761.4,765.8,867.3,890.3,897,902.6
Utah,1592.3,1644.8,1654,1652.8,121.3,124.8,127.6,128.8,143.9,148.5,148.2,149.3
,,,,,,,,,,,,
Vermont,289.4,298.9,299.7,299.6,15,15.7,15.8,15.7,28.6,28.8,28.9,28.8
Virginia,3911.7,3993.6,4018.2,4020.9,205.3,204.5,206.9,207.2,238.6,235.1,236,235.8
Washington,3306.2,3438.9,3466.9,3475.7,221.4,228.1,229.9,231.2,258.1,260.8,262,263.2
West Virginia,684.7,693.5,697,696.5,31.9,33.1,33,32.4,45.4,45.5,45.9,46.2
Wisconsin,2867,2904,2926.9,2927.9,125.9,129.1,130.3,130.6,464.2,473.8,477.4,478.3
Wyoming,276.5,283.1,285.6,284.6,20.7,22.7,23.4,23,9.7,9.8,9.8,9.8
,,,,,,,,,,,,
Puerto Rico,861,900.2,906.2,908.2,28.7,30.7,30.9,30.9,76.6,80.4,81.7,82
