entry,state,position,recency,name,title,workRemoteAllowed,dashEntityUrn
0,California,data scientist,5/1/22,Zillow,Software Developer,TRUE,urn:li:fsd_jobPosting:3010225380
15,California,data scientist,5/1/23,Mozilla,Software Engineer,TRUE,urn:li:fsd_jobPosting:2901237351
24,California,data scientist,5/1/24,MZ,"Software Engineer, Unity Framework",FALSE,urn:li:fsd_jobPosting:2729668012
36,California,data scientist,5/1/25,Dice,Sitecore Developer - 100% Remote - Perm,TRUE,urn:li:fsd_jobPosting:3042152220
93,California,data scientist,5/1/26,Yahoo,Search Frontend Software Developer,TRUE,urn:li:fsd_jobPosting:3014528084
219,California,data scientist,5/1/27,Feedzai,Data Scientist,TRUE,urn:li:fsd_jobPosting:2847434546
222,California,data scientist,5/1/28,Yahoo,Software Engineer: Full stack,TRUE,urn:li:fsd_jobPosting:3014525293
348,California,data scientist,5/1/29,Iterative Scopes,Data Scientist,FALSE,urn:li:fsd_jobPosting:2931502679
351,California,data scientist,5/1/30,Albertsons Companies,Data Scientist,FALSE,urn:li:fsd_jobPosting:2967864934
361,California,data scientist,5/1/31,SMX,Data Scientist (1248),TRUE,urn:li:fsd_jobPosting:3017026692
382,California,data scientist,5/1/32,Piper Companies,100% Remote Electronic Case Reporting Lead,TRUE,urn:li:fsd_jobPosting:3049190382
409,California,data scientist,5/1/33,MZ,"Software Engineer, Tools & Infrastructure",FALSE,urn:li:fsd_jobPosting:2729668011
421,California,data scientist,5/1/34,Yahoo,Software Dev Engineer I,TRUE,urn:li:fsd_jobPosting:3014525406
547,California,data scientist,5/1/35,Yahoo,Software Engineer,TRUE,urn:li:fsd_jobPosting:3014523227
673,California,data scientist,5/1/36,U.S. Bank,Data Analytics Solution Engineer,TRUE,urn:li:fsd_jobPosting:3040277897
688,California,data scientist,5/1/37,MZ,"Software Engineer, Unity Framework",FALSE,urn:li:fsd_jobPosting:2729663773
